/scratch/gi/studprj/metaclassify/data_sets//PhymmBL/res/scientific_names.txt

Thermoanaerobacter sp.
Thermoanaerobacter tengcongensis
Thermobifida fusca
Thermococcus kodakarensis
Thermodesulfovibrio yellowstonii
Thermofilum pendens
Thermoplasma acidophilum
Thermoplasma volcanium
Thermoproteus neutrophilus
Thermosipho melanesiensis
Thermosynechococcus elongatus
Thermotoga lettingae
Thermotoga maritima
Thermotoga petrophila
Thermotoga sp.
Thermus thermophilus
Thiobacillus denitrificans
Thiomicrospira crunogena
Treponema denticola
Treponema pallidum
Trichodesmium erythraeum
Tropheryma whipplei
Ureaplasma parvum
Ureaplasma urealyticum
Verminephrobacter eiseniae
Vibrio cholerae
Vibrio fischeri
Vibrio harveyi
Vibrio parahaemolyticus
Vibrio vulnificus
Wigglesworthia glossinidia
Wolbachia endosymbiont
Wolinella succinogenes
Xanthobacter autotrophicus
Xanthomonas axonopodis
Xanthomonas campestris
Xanthomonas oryzae
Xylella fastidiosa
Yersinia enterocolitica
Yersinia pestis
Yersinia pseudotuberculosis
Zymomonas mobilis
uncultured methanogenic
