NC_010002	Burkholderia_ambifaria_MC40_6
NC_011083	Shigella_flexneri_2a_str._301
NC_007959	Chelativorans_sp._BNC1
NC_002932	Methanosarcina_barkeri_str._Fusaro
NC_000868	Desulfitobacterium_hafniense_Y51
NC_007336	Rhizobium_leguminosarum_bv._viciae_3841
NC_011149	Shewanella_baltica_OS195
NC_008254	Propionibacterium_acnes_KPA171202
NC_010524	Candidatus_Desulforudis_audaxviator_MP104C
NC_009712	Thiobacillus_denitrificans_ATCC_25259
NC_006840	Acholeplasma_laidlawii_PG_8A
NC_007716	Borrelia_garinii_PBi
NC_011035	Pseudomonas_aeruginosa_PAO1
NC_005043	Chlamydophila_pneumoniae_TW_183
NC_003997	Bacillus_anthracis_str._Ames
NC_004838	Xanthomonas_campestris_pv._vesicatoria_str._85_10
NC_004633	Rhizobium_leguminosarum_bv._viciae_3841
NC_007482	Ehrlichia_chaffeensis_str._Arkansas
NC_008086	Lactococcus_lactis_subsp._cremoris_SK11
NC_010679	Haloarcula_marismortui_ATCC_43049
NC_009381	Thermus_thermophilus_HB8
NC_009921	Wigglesworthia_glossinidia_endosymbiont_of_Glossina_brevipalpis
NC_008759	Yersinia_enterocolitica_subsp._enterocolitica_8081
NC_009007	Salmonella_enterica_subsp._enterica_serovar_Paratyphi_A_str._ATCC_9150
NC_009484	Alkaliphilus_metalliredigens_QYMF
NC_010182	Methylobacterium_radiotolerans_JCM_2831
NC_008712	Burkholderia_sp._383
NC_008541	Nostoc_sp._PCC_7120
NC_006832	Ehrlichia_ruminantium_str._Welgevonden
NC_008726	Dinoroseobacter_shibae_DFL_12
NC_008528	Novosphingobium_aromaticivorans_DSM_12444
NC_009706	Flavobacterium_johnsoniae_UW101
NC_004572	Acinetobacter_baumannii_SDF
NC_004061	Buchnera_aphidicola_str._Sg__Schizaphis_graminum_
NC_010581	Ralstonia_pickettii_12J
NC_008525	Dichelobacter_nodosus_VCS1703A
NC_008537	Nostoc_sp._PCC_7120
NC_006351	Burkholderia_pseudomallei_K96243
NC_010694	Borrelia_recurrentis_A1
NC_010634	Xylella_fastidiosa_M12
NC_005229	Methanosaeta_thermophila_PT
NC_011247	Frankia_sp._EAN1pec
NC_009956	Ralstonia_solanacearum_GMI1000
NC_010512	Burkholderia_cenocepacia_MC0_3
NC_004631	Staphylococcus_aureus_subsp._aureus_MW2
NC_006905	Shewanella_baltica_OS185
NC_008740	Thermosipho_melanesiensis_BI429
NC_001988	Mycobacterium_leprae_TN
NC_007766	Rhodobacter_sphaeroides_2.4.1
NC_007355	Halobacterium_salinarum_R1
NC_008022	Yersinia_pseudotuberculosis_IP_32953
NC_008513	Buchnera_aphidicola_str._Cc__Cinara_cedri_
NC_010513	Vibrio_cholerae_O395
NC_011184	Acidithiobacillus_ferrooxidans_ATCC_53993
NC_002953	Streptococcus_pyogenes_MGAS2096
NC_008147	Thermodesulfovibrio_yellowstonii_DSM_11347
NC_009430	Salmonella_enterica_subsp._enterica_serovar_Agona_str._SL483
NC_009784	Geobacillus_thermodenitrificans_NG80_2
NC_004552	Halorhodospira_halophila_SL1
NC_007907	Nitrosococcus_oceani_ATCC_19707
NC_009615	Shewanella_denitrificans_OS217
NC_004070	Yersinia_pseudotuberculosis_PB1__
NC_010410	Acidovorax_sp._JS42
NC_003064	Anaeromyxobacter_sp._Fw109_5
NC_011415	Haemophilus_influenzae_86_028NP
NC_004606	Yersinia_pestis_Antiqua
NC_006672	Bartonella_henselae_str._Houston_1
NC_002696	Marinobacter_aquaeolei_VT8
NC_008262	Clostridium_perfringens_SM101
NC_009138	Lactobacillus_brevis_ATCC_367
NC_002162	Acaryochloris_marina_MBIC11017
NC_007604	Yersinia_pestis_Pestoides_F
NC_010547	Dechloromonas_aromatica_RCB
NC_002946	Prochlorococcus_marinus_str._NATL2A
